home_team,score,away_team
Qatar ,0–2, Ecuador
Senegal ,0–2, Netherlands
Qatar ,1–3, Senegal
Netherlands ,1–1, Ecuador
Ecuador ,1–2, Senegal
Netherlands ,2–0, Qatar
England ,6–2, Iran
United States ,1–1, Wales
Wales ,0–2, Iran
England ,0–0, United States
Wales ,0–3, England
Iran ,0–1, United States
Argentina ,1–2, Saudi Arabia
Mexico ,0–0, Poland
Poland ,2–0, Saudi Arabia
Argentina ,2–0, Mexico
Poland ,0–2, Argentina
Saudi Arabia ,1–2, Mexico
Denmark ,0–0, Tunisia
France ,4–1, Australia
Tunisia ,0–1, Australia
France ,2–1, Denmark
Australia ,1–0, Denmark
Tunisia ,1–0, France
Germany ,1–2, Japan
Spain ,7–0, Costa Rica
Japan ,0–1, Costa Rica
Spain ,1–1, Germany
Japan ,2–1, Spain
Costa Rica ,2–4, Germany
Morocco ,0–0, Croatia
Belgium ,1–0, Canada
Belgium ,0–2, Morocco
Croatia ,4–1, Canada
Croatia ,0–0, Belgium
Canada ,1–2, Morocco
Switzerland ,1–0, Cameroon
Brazil ,2–0, Serbia
Cameroon ,3–3, Serbia
Brazil ,1–0,  Switzerland
Serbia ,2–3,  Switzerland
Cameroon ,1–0, Brazil
Uruguay ,0–0, South Korea
Portugal ,3–2, Ghana
South Korea ,2–3, Ghana
Portugal ,2–0, Uruguay
Ghana ,0–2, Uruguay
South Korea ,2–1, Portugal
Netherlands ,3–1, United States
Argentina ,2–1, Australia
France ,3–1, Poland
England ,3–0, Senegal
Japan ,1–1 (a.e.t.), Croatia
Brazil ,4–1, South Korea
Morocco ,0–0 (a.e.t.), Spain
Portugal ,6–1,  Switzerland
Croatia ,1–1 (a.e.t.), Brazil
Netherlands ,2–2 (a.e.t.), Argentina
Morocco ,1–0, Portugal
England ,1–2, France
Argentina ,3–0, Croatia
France ,2–0, Morocco
Croatia ,2–1, Morocco
Argentina ,3–3 (a.e.t.), France
